FigureName,IndexType,ExecutionMode,Optimization,Performance
iggp-dont-touch-next-control, Roaring Index, Parallel, No Optimization, 13.488569
iggp-dont-touch-next-control, Roaring Index, Parallel, Relative Optimization, 1.758405

iggp-buttons-goal, No Index, Serial, No Optimization,0.303034
iggp-buttons-goal, No Index, Serial, Relative Optimization,0.259334
iggp-buttons-goal, No Index, Parallel, No Optimization, 0.683589
iggp-buttons-goal, No Index, Parallel, Relative Optimization, 0.617349
iggp-buttons-goal, Roaring Index, Parallel, No Optimization, 0.655259
iggp-buttons-goal, Roaring Index, Parallel, Relative Optimization, 0.681019

robots-functional, No Index, Serial, No Optimization,0.067856
robots-functional, No Index, Serial, Relative Optimization,0.073296
robots-functional, No Index, Parallel, No Optimization, 0.063106
robots-functional, No Index, Parallel, Relative Optimization, 0.05419075
robots-functional, Roaring Index, Parallel, No Optimization, 0.05661325
robots-functional, Roaring Index, Parallel, Relative Optimization, 0.073736

robots-linear, No Index, Serial, No Optimization,0.03122
robots-linear, No Index, Serial, Relative Optimization,0.03215
robots-linear, No Index, Parallel, No Optimization, 0.092892
robots-linear, No Index, Parallel, Relative Optimization, 0.110602
robots-linear, Roaring Index, Parallel, No Optimization, 0.109721
robots-linear, Roaring Index, Parallel, Relative Optimization, 0.085961

